id,nhogar,miembro,comuna,dominio,edad,parentesco_jefe,situacion_conyugal,num_miembro_padre,num_miembro_madre,estado_ocupacional,cat_ocupacional,calidad_ingresos_lab,ingreso_total_lab,calidad_ingresos_no_lab,ingreso_total_no_lab,calidad_ingresos_totales,ingresos_totales,calidad_ingresos_familiares,ingresos_familiares,ingreso_per_capita_familiar,estado_educativo,sector_educativo,nivel_actual,nivel_max_educativo,años_escolaridad,lugar_nacimiento,afiliacion_salud,cantidad_hijos_nac_vivos,ingreso_total_lab_USD,ingreso_total_no_lab_USD,ingresos_totales_USD,ingresos_familiares_USD,ingreso_per_capita_familiar_USD,ingresos_totales_USD_cat,sexo_Mujer,sexo_Varon,hijos_nacidos_vivos_No,hijos_nacidos_vivos_Si,sist_de_salud_Sistema privado,sist_de_salud_Sistema público
3043,1,2,4,0,28,1,6,No corresponde,No corresponde,2,0,3,12000,1,0,3,12000,2,32000,16000,1,1,1,0,9,0,4,0,189.42383583267562,0.0,189.42383583267562,505.13022888713493,252.56511444356747,3,0,1,1,0,0,1
3044,1,1,5,0,53,2,1,No corresponde,No corresponde,2,4,3,10000,2,4000,2,14000,1,14000,14000,1,1,1,0,10,0,4,0,157.85319652722967,63.14127861089187,220.99447513812154,220.99447513812154,220.99447513812154,1,0,1,1,0,0,1
3045,1,1,1,0,53,2,4,No corresponde,No corresponde,2,0,3,35000,1,0,3,35000,2,35000,35000,1,1,1,3,12,0,3,0,552.4861878453039,0.0,552.4861878453039,552.4861878453039,552.4861878453039,2,0,1,1,0,1,0
3046,1,1,14,0,53,2,5,No corresponde,No corresponde,2,0,3,80000,1,0,3,80000,2,122500,40833,1,1,1,1,14,2,1,0,1262.8255722178374,0.0,1262.8255722178374,1933.7016574585634,644.561957379637,2,0,1,1,0,1,0
3046,1,2,14,0,59,0,5,No corresponde,No corresponde,1,1,1,0,3,12500,3,12500,2,122500,40833,1,1,1,1,13,0,1,2,0.0,197.3164956590371,197.3164956590371,1933.7016574585634,644.561957379637,1,1,0,0,1,1,0
3046,1,3,14,0,23,1,4,Padre no vive en el hogar,2,2,0,3,30000,1,0,3,30000,2,122500,40833,0,2,13,1,13,0,1,0,473.559589581689,0.0,473.559589581689,1933.7016574585634,644.561957379637,2,1,0,1,0,1,0
3047,1,1,6,0,53,2,1,No corresponde,No corresponde,2,0,3,25500,1,0,3,25500,2,49500,16500,1,1,1,5,15,0,1,3,402.52565114443564,0.0,402.52565114443564,781.3733228097868,260.45777426992896,1,1,0,0,1,1,0
3047,1,2,6,0,23,1,4,Padre no vive en el hogar,1,2,0,3,24000,1,0,3,24000,2,49500,16500,0,0,13,1,16,0,1,0,378.84767166535124,0.0,378.84767166535124,781.3733228097868,260.45777426992896,1,1,0,1,0,1,0
3047,1,3,6,0,19,1,4,Padre no vive en el hogar,1,1,1,1,0,1,0,1,0,2,49500,16500,0,0,12,1,13,0,1,0,0.0,0.0,0.0,781.3733228097868,260.45777426992896,4,0,1,1,0,1,0
3048,1,1,4,0,53,2,0,No corresponde,No corresponde,2,0,3,44000,1,0,3,44000,2,79000,26333,1,1,1,5,15,6,1,0,694.5540647198105,0.0,694.5540647198105,1247.0402525651143,415.67482241515387,2,0,1,1,0,1,0
